Transaction_ID,Customer_ID,Product_ID,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country
612,1007,538,Direct,High,WH-2,Regular,Cancelled,Neutral,True,Not Specified,Cash,True,South,Canada
234,1070,511,Reseller,High,WH-1,Express,Cancelled,Satisfied,False,Not Specified,Cash,True,West,Mexico
50,1092,545,Online,Critical,WH-2,Regular,Delivered,Unsatisfied,True,Late,Wire Transfer,False,West,Mexico
8,1085,536,Partner,Medium,WH-3,Regular,Backorder,Satisfied,True,Damaged,Cash,False,West,Canada
330,1064,546,Partner,Medium,WH-2,2-Day,Backorder,Unsatisfied,True,unknown,Cash,False,West,Mexico
822,1040,525,Online,Critical,WH-2,2-Day,Pending,Satisfied,True,Wrong Item,PayPal,False,North,USA
804,1082,533,Online,Low,WH-3,Overnight,Cancelled,Satisfied,False,Not Specified,PayPal,False,East,Canada
875,1048,550,Reseller,High,WH-1,2-Day,Delivered,Unsatisfied,True,Wrong Item,Wire Transfer,True,West,Canada
932,1003,501,Partner,Medium,WH-3,2-Day,Delivered,Neutral,False,unknown,Credit Card,False,South,USA
336,1011,553,Partner,Low,WH-1,Express,Pending,Neutral,True,Damaged,PayPal,True,North,USA
881,1049,522,Partner,Low,WH-2,Regular,Pending,Neutral,False,Damaged,Wire Transfer,False,North,USA
322,1075,512,Reseller,Medium,WH-2,2-Day,Delivered,Neutral,False,Damaged,Credit Card,True,North,Canada
980,1062,552,Online,Critical,WH-2,Regular,Cancelled,Satisfied,True,Damaged,Cash,True,South,Mexico
374,1070,560,Reseller,High,WH-1,Regular,Cancelled,Unsatisfied,False,Damaged,Cash,True,West,USA
54,1026,519,Online,Low,WH-1,Express,Pending,Neutral,False,Wrong Item,Cash,False,East,Canada
997,1097,516,Direct,Critical,WH-3,Express,Delivered,Neutral,True,Late,PayPal,False,South,Canada
169,1099,560,Reseller,Low,WH-1,Overnight,Pending,Neutral,False,Late,Credit Card,True,North,Canada
427,1069,556,Online,High,WH-3,2-Day,Delivered,Unsatisfied,True,Late,Wire Transfer,False,South,Canada
801,1059,535,Direct,Critical,WH-1,Overnight,Backorder,Unsatisfied,True,Late,Wire Transfer,False,West,USA
592,1008,502,Online,Medium,WH-1,Express,Delivered,Satisfied,False,Damaged,PayPal,False,North,Mexico
764,1062,522,Reseller,Medium,WH-2,2-Day,Pending,Unsatisfied,False,Wrong Item,PayPal,False,North,Mexico
853,1093,503,Partner,Medium,WH-1,Regular,Delivered,Unsatisfied,False,Not Specified,PayPal,False,West,USA
211,1018,524,Online,High,WH-2,2-Day,Cancelled,Satisfied,False,Damaged,Credit Card,False,East,USA
493,1038,520,Online,Low,WH-3,Express,Delivered,Satisfied,True,Not Specified,Credit Card,False,South,Canada
930,1017,556,Partner,Low,WH-3,Regular,Pending,Neutral,False,Not Specified,Wire Transfer,True,East,Canada
916,1005,508,Direct,Medium,WH-1,Overnight,Backorder,Satisfied,False,Late,Wire Transfer,False,South,Canada
701,1002,515,Partner,Low,WH-1,Express,Backorder,Unsatisfied,True,Wrong Item,Wire Transfer,False,South,USA
88,1052,514,Partner,Medium,WH-3,2-Day,Cancelled,Neutral,False,Late,Credit Card,True,East,USA
937,1073,506,Online,Low,WH-1,Express,Cancelled,Satisfied,False,Wrong Item,Cash,False,West,Mexico
364,1097,521,Online,Critical,WH-1,Regular,Backorder,Neutral,True,Not Specified,PayPal,False,South,Canada
885,1059,544,Online,Low,WH-2,Regular,Cancelled,Neutral,True,Late,PayPal,False,West,USA
462,1011,530,Reseller,High,WH-2,Express,Pending,Satisfied,False,Late,Wire Transfer,False,North,USA
301,1040,547,Partner,Medium,WH-3,2-Day,Backorder,Satisfied,False,Damaged,Cash,True,South,Canada
886,1037,502,Online,Medium,WH-3,Regular,Cancelled,Satisfied,True,unknown,Wire Transfer,False,West,Canada
528,1061,531,Partner,High,WH-1,Express,Cancelled,Satisfied,True,Late,Cash,False,West,Mexico
569,1083,526,Direct,Low,WH-1,Regular,Cancelled,Unsatisfied,True,Not Specified,Cash,True,West,USA
787,1016,560,Online,High,WH-2,Regular,Backorder,Unsatisfied,True,Wrong Item,PayPal,False,South,USA
762,1047,554,Online,Medium,WH-1,Express,Cancelled,Unsatisfied,True,Damaged,PayPal,True,South,Mexico
120,1008,515,Partner,Low,WH-2,2-Day,Cancelled,Unsatisfied,True,unknown,Wire Transfer,False,North,Mexico
614,1023,506,Direct,High,WH-3,2-Day,Pending,Unsatisfied,False,unknown,Wire Transfer,True,North,Canada
938,1068,522,Direct,Low,WH-1,Regular,Cancelled,Neutral,True,Not Specified,Credit Card,False,South,Mexico
460,1041,510,Partner,High,WH-3,Regular,Delivered,Neutral,False,Damaged,Cash,True,West,Mexico
217,1083,521,Direct,Low,WH-3,Overnight,Cancelled,Unsatisfied,True,unknown,Credit Card,False,East,USA
10,1063,538,Online,High,WH-3,Regular,Backorder,Unsatisfied,True,Not Specified,Wire Transfer,False,South,Mexico
51,1095,535,Partner,Low,WH-1,Express,Cancelled,Satisfied,False,Not Specified,Credit Card,True,South,Canada
688,1098,521,Partner,Critical,WH-2,2-Day,Delivered,Unsatisfied,True,Late,PayPal,True,North,Canada
243,1055,532,Reseller,Critical,WH-3,Regular,Delivered,Neutral,False,Damaged,Credit Card,False,South,USA
961,1079,557,Online,Low,WH-2,Regular,Cancelled,Satisfied,True,unknown,Credit Card,False,East,Mexico
265,1075,552,Direct,Critical,WH-3,2-Day,Cancelled,Satisfied,True,unknown,PayPal,False,West,Canada
525,1086,529,Reseller,Critical,WH-2,Express,Delivered,Unsatisfied,True,Wrong Item,Credit Card,True,West,USA
967,1018,523,Partner,Low,WH-3,Overnight,Delivered,Neutral,True,Late,Credit Card,False,North,Canada
245,1003,516,Direct,Critical,WH-1,Express,Pending,Neutral,True,Late,Credit Card,False,East,USA
346,1026,537,Partner,Critical,WH-2,Overnight,Delivered,Satisfied,False,Damaged,Wire Transfer,False,South,USA
390,1057,506,Online,Low,WH-2,2-Day,Delivered,Unsatisfied,False,Wrong Item,Wire Transfer,True,South,USA
133,1051,527,Reseller,High,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,Cash,True,West,USA
159,1056,549,Direct,Medium,WH-3,Overnight,Delivered,Unsatisfied,True,Not Specified,Cash,False,North,Mexico
378,1051,551,Reseller,Low,WH-2,2-Day,Delivered,Satisfied,False,Wrong Item,PayPal,True,South,USA
458,1078,510,Partner,Low,WH-2,Overnight,Cancelled,Neutral,False,Not Specified,PayPal,True,West,USA
653,1009,510,Online,Critical,WH-3,Regular,Backorder,Neutral,True,Late,Cash,True,West,USA
831,1025,539,Direct,Medium,WH-1,Regular,Backorder,Satisfied,False,Late,Cash,False,North,Canada
626,1020,507,Partner,Critical,WH-1,Overnight,Cancelled,Satisfied,False,Wrong Item,Wire Transfer,False,South,Mexico
431,1038,502,Reseller,Low,WH-1,Express,Cancelled,Satisfied,False,Damaged,Credit Card,True,North,USA
923,1099,528,Direct,Critical,WH-3,2-Day,Pending,Neutral,False,Not Specified,PayPal,True,South,Canada
315,1095,542,Partner,Critical,WH-3,2-Day,Delivered,Satisfied,True,Not Specified,Credit Card,False,East,Canada
526,1092,557,Reseller,Critical,WH-2,Overnight,Delivered,Satisfied,False,Wrong Item,Cash,False,West,USA
667,1070,526,Partner,Medium,WH-2,2-Day,Pending,Neutral,True,Late,Cash,False,East,Canada
311,1024,526,Reseller,High,WH-3,Express,Backorder,Unsatisfied,False,Not Specified,Cash,False,South,Mexico
627,1011,525,Direct,Medium,WH-1,Overnight,Cancelled,Satisfied,False,Wrong Item,Cash,False,North,Canada
908,1054,530,Online,Medium,WH-1,Express,Pending,Neutral,True,Wrong Item,Credit Card,False,South,Mexico
553,1047,538,Partner,High,WH-3,2-Day,Delivered,Neutral,True,Wrong Item,PayPal,True,West,USA
724,1033,518,Reseller,Medium,WH-2,2-Day,Backorder,Satisfied,False,Late,Credit Card,True,South,USA
498,1034,537,Partner,Low,WH-2,2-Day,Pending,Unsatisfied,True,Damaged,Credit Card,True,West,Mexico
331,1022,536,Online,High,WH-1,Overnight,Delivered,Unsatisfied,False,unknown,Wire Transfer,False,South,Canada
45,1004,540,Reseller,High,WH-1,Regular,Delivered,Neutral,False,Wrong Item,Cash,True,West,Mexico
327,1035,558,Online,Low,WH-1,Overnight,Cancelled,Neutral,False,Late,PayPal,False,North,Canada
555,1092,547,Reseller,High,WH-1,Regular,Backorder,Neutral,False,Late,Wire Transfer,True,North,Canada
565,1003,530,Reseller,Critical,WH-3,2-Day,Delivered,Unsatisfied,True,unknown,Credit Card,True,South,USA
574,1092,512,Reseller,High,WH-1,Regular,Pending,Neutral,True,Wrong Item,Wire Transfer,True,North,Mexico
890,1039,534,Partner,High,WH-1,Express,Cancelled,Neutral,True,Wrong Item,Cash,True,West,Canada
449,1068,523,Direct,Low,WH-3,Overnight,Backorder,Satisfied,True,Wrong Item,Credit Card,False,North,Canada
509,1070,505,Reseller,Medium,WH-1,2-Day,Cancelled,Neutral,False,Late,Wire Transfer,True,East,Mexico
735,1073,544,Reseller,High,WH-1,Express,Cancelled,Neutral,False,Not Specified,Wire Transfer,False,East,Mexico
684,1031,544,Reseller,Critical,WH-2,Regular,Pending,Unsatisfied,False,Damaged,Cash,True,North,Canada
71,1014,536,Online,Medium,WH-3,Regular,Pending,Unsatisfied,False,Damaged,PayPal,True,East,Canada
730,1062,525,Reseller,Medium,WH-1,Express,Backorder,Unsatisfied,True,Damaged,PayPal,False,South,Canada
124,1025,511,Reseller,High,WH-1,Express,Delivered,Neutral,False,Wrong Item,Wire Transfer,True,West,Mexico
931,1088,544,Reseller,High,WH-2,Express,Cancelled,Unsatisfied,False,Wrong Item,PayPal,True,South,USA
882,1088,506,Reseller,Low,WH-2,Regular,Backorder,Satisfied,False,Damaged,Credit Card,True,West,USA
624,1047,524,Partner,High,WH-1,Express,Cancelled,Unsatisfied,True,Late,Wire Transfer,False,East,Canada
546,1030,550,Partner,Medium,WH-3,Regular,Delivered,Satisfied,True,Late,PayPal,False,South,Mexico
755,1059,545,Reseller,Medium,WH-1,2-Day,Backorder,Satisfied,False,Late,Credit Card,False,North,USA
591,1092,528,Direct,Critical,WH-2,Overnight,Backorder,Unsatisfied,True,unknown,Wire Transfer,False,East,Canada
990,1033,530,Direct,High,WH-3,Overnight,Pending,Neutral,False,Not Specified,Credit Card,True,South,Canada
122,1004,529,Reseller,Medium,WH-3,Overnight,Backorder,Unsatisfied,False,Wrong Item,Cash,False,North,USA
873,1037,538,Direct,High,WH-1,Express,Delivered,Unsatisfied,True,Wrong Item,Wire Transfer,True,South,Canada
620,1060,519,Direct,Low,WH-2,Overnight,Cancelled,Unsatisfied,False,Late,PayPal,True,East,Mexico
372,1039,544,Partner,Critical,WH-3,Express,Cancelled,Unsatisfied,True,Not Specified,Credit Card,False,West,Mexico
354,1072,551,Online,Low,WH-3,2-Day,Cancelled,Neutral,True,Wrong Item,PayPal,False,South,Mexico
697,1092,525,Partner,High,WH-1,Express,Cancelled,Satisfied,False,unknown,Cash,True,West,USA
829,1093,542,Online,Medium,WH-1,Overnight,Delivered,Neutral,True,Wrong Item,Credit Card,True,West,USA
583,1088,531,Reseller,Medium,WH-2,Overnight,Cancelled,Neutral,True,Not Specified,Credit Card,True,South,Mexico
125,1067,552,Reseller,High,WH-1,2-Day,Pending,Neutral,True,Not Specified,Credit Card,False,East,Mexico
128,1027,547,Direct,Critical,WH-1,2-Day,Pending,Satisfied,True,Not Specified,Wire Transfer,True,North,USA
887,1061,538,Direct,Medium,WH-3,2-Day,Delivered,Unsatisfied,False,Damaged,Cash,False,West,Canada
789,1017,510,Reseller,Low,WH-3,Express,Pending,Neutral,True,Not Specified,Wire Transfer,False,East,USA
709,1021,504,Partner,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,PayPal,True,East,Canada
70,1085,532,Online,Low,WH-1,Regular,Delivered,Satisfied,True,Late,PayPal,False,South,Canada
618,1036,541,Direct,High,WH-3,Overnight,Cancelled,Neutral,True,Wrong Item,Credit Card,True,South,Canada
262,1057,530,Reseller,High,WH-1,Regular,Pending,Satisfied,False,Wrong Item,Wire Transfer,True,East,USA
426,1027,514,Direct,Low,WH-3,2-Day,Delivered,Satisfied,True,Damaged,Wire Transfer,True,North,USA
777,1082,516,Online,Medium,WH-2,Overnight,Pending,Unsatisfied,False,Damaged,Cash,False,South,USA
840,1042,504,Online,Critical,WH-2,2-Day,Cancelled,Neutral,True,Not Specified,Cash,True,East,USA
48,1032,560,Partner,Critical,WH-2,2-Day,Backorder,Neutral,False,Late,Credit Card,True,South,USA
594,1035,506,Online,Critical,WH-3,Regular,Pending,Neutral,True,Wrong Item,Wire Transfer,False,East,Mexico
605,1014,541,Partner,High,WH-3,Overnight,Backorder,Unsatisfied,False,Not Specified,Credit Card,False,West,Mexico
379,1072,532,Direct,Medium,WH-1,2-Day,Delivered,Neutral,False,unknown,PayPal,True,West,Mexico
643,1024,549,Partner,High,WH-2,Express,Delivered,Unsatisfied,True,Not Specified,Cash,False,East,Mexico
518,1085,550,Reseller,Critical,WH-2,2-Day,Cancelled,Neutral,False,Late,Cash,True,West,USA
976,1081,515,Direct,Low,WH-3,Overnight,Pending,Unsatisfied,False,Not Specified,Wire Transfer,False,East,Mexico
884,1012,523,Reseller,Critical,WH-3,Overnight,Pending,Unsatisfied,False,Late,Cash,False,North,USA
472,1001,554,Direct,High,WH-1,Overnight,Backorder,Neutral,True,Late,Wire Transfer,True,North,Mexico
969,1037,504,Online,Low,WH-1,Overnight,Delivered,Satisfied,True,Late,Credit Card,False,North,USA
706,1036,519,Partner,High,WH-3,2-Day,Cancelled,Satisfied,False,Late,Cash,True,North,Mexico
630,1087,501,Online,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Wrong Item,Wire Transfer,False,South,Mexico
38,1085,532,Direct,Low,WH-3,2-Day,Delivered,Satisfied,False,Damaged,PayPal,False,West,USA
135,1021,517,Direct,Medium,WH-2,2-Day,Pending,Unsatisfied,False,Not Specified,Cash,False,South,Mexico
774,1070,542,Direct,Critical,WH-3,Express,Cancelled,Unsatisfied,False,Damaged,Wire Transfer,True,West,USA
152,1090,501,Reseller,Low,WH-3,Overnight,Pending,Neutral,False,Wrong Item,PayPal,True,South,Canada
507,1071,553,Direct,Medium,WH-3,Regular,Backorder,Unsatisfied,True,Late,Credit Card,False,South,USA
107,1034,558,Partner,High,WH-2,Express,Pending,Neutral,False,Wrong Item,PayPal,True,East,USA
23,1006,532,Direct,High,WH-1,Overnight,Backorder,Neutral,False,Not Specified,PayPal,True,South,Canada
522,1084,534,Partner,Critical,WH-3,2-Day,Pending,Satisfied,False,Late,PayPal,False,South,Mexico
369,1078,537,Direct,Low,WH-2,2-Day,Pending,Satisfied,True,Damaged,PayPal,False,West,USA
527,1063,539,Partner,Low,WH-3,2-Day,Cancelled,Satisfied,False,Late,Wire Transfer,True,South,Canada
413,1005,544,Partner,Medium,WH-2,Overnight,Backorder,Satisfied,False,Not Specified,PayPal,False,North,Canada
704,1051,513,Online,Critical,WH-3,Express,Backorder,Satisfied,False,Wrong Item,Credit Card,False,East,USA
111,1077,546,Partner,Medium,WH-2,Express,Cancelled,Neutral,True,Late,Cash,False,North,USA
968,1070,526,Partner,Low,WH-1,2-Day,Cancelled,Satisfied,False,unknown,Credit Card,True,West,USA
438,1012,528,Partner,Medium,WH-1,Overnight,Pending,Neutral,False,Wrong Item,PayPal,False,West,Mexico
876,1065,503,Direct,Critical,WH-1,Regular,Delivered,Unsatisfied,True,Not Specified,Wire Transfer,True,East,Mexico
242,1024,546,Online,High,WH-3,Express,Delivered,Unsatisfied,False,Damaged,Cash,True,South,Mexico
256,1004,533,Direct,Low,WH-3,2-Day,Delivered,Unsatisfied,True,Not Specified,PayPal,False,East,Mexico
943,1067,533,Reseller,Low,WH-2,Express,Delivered,Neutral,True,Wrong Item,Cash,True,South,Canada
844,1013,532,Direct,High,WH-1,Express,Delivered,Neutral,True,Damaged,Wire Transfer,False,South,Canada
221,1052,546,Partner,Medium,WH-2,Overnight,Backorder,Unsatisfied,False,Wrong Item,Cash,True,South,Mexico
179,1078,550,Direct,Critical,WH-1,2-Day,Cancelled,Unsatisfied,False,Wrong Item,PayPal,False,East,Mexico
933,1032,557,Partner,Critical,WH-2,Overnight,Pending,Neutral,False,Damaged,PayPal,True,East,USA
543,1049,560,Reseller,Critical,WH-1,Overnight,Cancelled,Neutral,False,Damaged,Credit Card,True,South,USA
377,1007,549,Online,High,WH-3,2-Day,Cancelled,Neutral,False,unknown,Cash,False,North,Canada
584,1087,516,Online,Medium,WH-1,2-Day,Delivered,Unsatisfied,True,Damaged,PayPal,False,South,USA
443,1089,501,Partner,Critical,WH-3,Overnight,Cancelled,Neutral,True,Not Specified,PayPal,True,North,USA
286,1037,506,Online,Low,WH-2,Regular,Backorder,Satisfied,True,Wrong Item,PayPal,True,North,Canada
815,1099,532,Partner,Critical,WH-3,Regular,Delivered,Unsatisfied,False,Damaged,Wire Transfer,True,South,Canada
803,1093,534,Partner,Medium,WH-2,Express,Delivered,Unsatisfied,False,Late,Cash,False,West,Canada
478,1021,547,Direct,Medium,WH-2,Regular,Pending,Satisfied,False,Not Specified,PayPal,False,South,USA
962,1038,509,Direct,Low,WH-1,Overnight,Delivered,Unsatisfied,True,Not Specified,Cash,False,North,Mexico
235,1004,522,Direct,Critical,WH-3,Overnight,Cancelled,Unsatisfied,False,Late,PayPal,True,North,Mexico
693,1045,547,Online,Medium,WH-1,Overnight,Cancelled,Satisfied,True,Wrong Item,Cash,False,East,Mexico
966,1090,552,Direct,Medium,WH-1,Regular,Backorder,Neutral,True,Not Specified,Wire Transfer,False,South,Mexico
940,1098,508,Reseller,Low,WH-3,Overnight,Delivered,Unsatisfied,False,Late,Cash,False,East,USA
170,1052,546,Partner,Low,WH-3,Regular,Delivered,Satisfied,True,Wrong Item,Credit Card,True,South,Canada
883,1068,502,Direct,Medium,WH-1,2-Day,Pending,Unsatisfied,False,Late,PayPal,False,West,Mexico
842,1030,538,Reseller,Medium,WH-2,Overnight,Pending,Neutral,False,Late,Wire Transfer,False,West,Mexico
108,1006,523,Online,Critical,WH-3,Regular,Backorder,Unsatisfied,False,Not Specified,Cash,True,North,USA
571,1097,547,Online,High,WH-2,Overnight,Backorder,Satisfied,False,Late,Credit Card,True,South,Canada
901,1052,529,Direct,Critical,WH-2,Overnight,Pending,Unsatisfied,True,Not Specified,Credit Card,False,South,USA
3,1065,543,Partner,High,WH-3,Regular,Pending,Unsatisfied,False,Late,Wire Transfer,False,East,Mexico
585,1059,514,Reseller,High,WH-1,Regular,Backorder,Satisfied,True,Wrong Item,Wire Transfer,True,South,Canada
756,1049,542,Partner,High,WH-2,Express,Cancelled,Satisfied,False,Late,Wire Transfer,True,North,USA
226,1056,511,Reseller,Low,WH-1,Regular,Cancelled,Unsatisfied,True,Wrong Item,Cash,False,East,Mexico
476,1040,543,Online,Critical,WH-1,Overnight,Cancelled,Satisfied,False,Damaged,Cash,True,North,USA
754,1044,556,Online,High,WH-2,Regular,Backorder,Satisfied,True,Not Specified,Wire Transfer,True,West,USA
622,1002,511,Online,Medium,WH-2,Overnight,Pending,Unsatisfied,True,Not Specified,Wire Transfer,False,West,USA
95,1081,552,Direct,Medium,WH-3,2-Day,Backorder,Neutral,True,Damaged,PayPal,False,North,Mexico
949,1098,534,Direct,Critical,WH-3,Express,Cancelled,Unsatisfied,False,Damaged,Cash,True,East,Canada
793,1086,536,Online,Medium,WH-2,2-Day,Cancelled,Satisfied,True,Not Specified,Credit Card,False,West,Mexico
878,1079,544,Direct,Medium,WH-1,Overnight,Backorder,Satisfied,False,Not Specified,Credit Card,True,West,USA
973,1028,535,Direct,Medium,WH-3,Regular,Backorder,Satisfied,False,Late,Wire Transfer,False,East,Canada
836,1042,524,Online,Medium,WH-1,Overnight,Cancelled,Neutral,False,unknown,Cash,False,South,Canada
579,1008,504,Direct,High,WH-3,Express,Cancelled,Unsatisfied,True,Wrong Item,PayPal,False,South,Mexico
648,1087,511,Reseller,Medium,WH-1,2-Day,Backorder,Neutral,False,Late,Credit Card,True,East,USA
60,1065,534,Partner,High,WH-2,Express,Delivered,Satisfied,False,Damaged,PayPal,False,South,USA
371,1051,528,Direct,High,WH-3,Regular,Delivered,Unsatisfied,True,Not Specified,Credit Card,False,South,USA
564,1055,510,Online,High,WH-1,Regular,Delivered,Satisfied,False,unknown,PayPal,False,North,Canada
193,1064,525,Direct,High,WH-2,Overnight,Delivered,Satisfied,True,Damaged,Wire Transfer,False,South,Mexico
956,1005,502,Reseller,High,WH-3,Regular,Backorder,Neutral,False,Wrong Item,Cash,True,East,Mexico
650,1081,508,Reseller,Critical,WH-2,Overnight,Backorder,Neutral,False,Wrong Item,Wire Transfer,False,East,Mexico
674,1034,515,Online,Medium,WH-1,2-Day,Cancelled,Satisfied,True,Wrong Item,Credit Card,True,South,Mexico
791,1026,518,Partner,Medium,WH-1,2-Day,Cancelled,Neutral,False,Late,Wire Transfer,False,West,Mexico
729,1081,526,Partner,Medium,WH-2,Express,Backorder,Unsatisfied,False,Not Specified,Cash,True,East,USA
750,1094,507,Reseller,High,WH-2,Express,Pending,Unsatisfied,False,Not Specified,Credit Card,True,North,USA
67,1047,522,Online,High,WH-2,Overnight,Delivered,Satisfied,False,Not Specified,PayPal,False,North,USA
679,1087,548,Partner,Low,WH-3,Express,Backorder,Satisfied,True,Damaged,Wire Transfer,True,South,Mexico
690,1053,543,Partner,Critical,WH-1,Express,Pending,Neutral,False,Wrong Item,PayPal,False,East,Canada
742,1043,549,Partner,Critical,WH-2,Express,Backorder,Satisfied,False,Damaged,PayPal,True,North,Canada
863,1065,549,Online,Critical,WH-3,Regular,Delivered,Satisfied,True,unknown,Cash,True,East,Mexico
855,1057,508,Reseller,Low,WH-2,2-Day,Backorder,Unsatisfied,True,Damaged,Credit Card,False,South,USA
433,1072,506,Partner,Low,WH-1,2-Day,Backorder,Satisfied,False,Damaged,PayPal,True,South,Canada
141,1022,547,Online,Critical,WH-1,Overnight,Cancelled,Unsatisfied,False,Late,PayPal,True,East,Mexico
859,1030,541,Online,High,WH-2,2-Day,Cancelled,Unsatisfied,False,unknown,PayPal,True,South,USA
147,1090,519,Online,Low,WH-3,Regular,Backorder,Unsatisfied,True,Damaged,Credit Card,True,North,Canada
860,1025,539,Reseller,Critical,WH-1,2-Day,Cancelled,Unsatisfied,False,Damaged,Cash,False,East,USA
303,1084,507,Partner,Critical,WH-2,2-Day,Delivered,Satisfied,True,Late,PayPal,False,West,Canada
119,1016,539,Reseller,Low,WH-2,2-Day,Backorder,Satisfied,False,Late,PayPal,False,North,Mexico
490,1025,506,Reseller,Critical,WH-2,Regular,Backorder,Neutral,False,unknown,Cash,False,East,USA
97,1029,507,Direct,High,WH-1,Express,Cancelled,Neutral,True,Wrong Item,Credit Card,True,South,Canada
216,1040,508,Reseller,Critical,WH-1,Regular,Pending,Unsatisfied,True,Late,Cash,False,North,Mexico
872,1062,508,Direct,Critical,WH-3,Regular,Pending,Satisfied,False,Damaged,Credit Card,True,East,USA
858,1010,506,Partner,Critical,WH-2,Regular,Delivered,Unsatisfied,True,unknown,PayPal,False,East,Canada
